Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
81,Marc Gasol,C,36,LAL,5,1,17.4,1.6,2.6,0.615,1.4,2.2,0.636,0.2,0.4,0.5,0.885,0.6,0.8,0.75,0.8,3,3.8,3,0.8,0.8,0.8,3.2,5.2,2021
82,Paul George,SF,30,LAC,19,19,40.8,8.7,19.7,0.441,2.7,8,0.336,6,11.7,0.514,0.509,6.8,8.1,0.844,0.9,8.7,9.6,5.4,1,0.5,3.5,3.1,26.9,2021
83,Taj Gibson,C,35,NYK,5,3,27.6,2.4,4,0.6,0,0,,2.4,4,0.6,0.6,0.2,0.2,1,3.2,3.8,7,0.8,1.6,1,0.6,2.6,5,2021
84,Harry Giles,C,22,POR,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,2,1,3,0,0,0,3,0,0,2021
85,Anthony Gill,PF,28,WAS,4,0,8.3,0,0.8,0,0,0.3,0,0,0.5,0,0,0,0,,0.3,0.8,1,0,0,0,0.8,1.8,0,2021
86,Rudy Gobert,C,28,UTA,11,11,34.2,5.5,7.4,0.741,0,0.1,0,5.5,7.3,0.75,0.741,3.8,6,0.636,3.9,8.4,12.3,0.8,0.5,2.1,1.5,4.2,14.7,2021
87,Aaron Gordon,PF,25,DEN,10,10,29.9,4.3,9.9,0.434,0.9,2.3,0.391,3.4,7.6,0.447,0.48,1.6,2.5,0.64,2.1,3.3,5.4,2,0.5,0.3,1.4,2.3,11.1,2021
88,Danny Green,SF,33,PHI,8,8,24.9,2.6,6,0.438,1.8,4.6,0.378,0.9,1.4,0.636,0.583,0,0,,1.1,1.5,2.6,2.6,1.1,1,0.6,1.6,7,2021
89,JaMychal Green,PF,30,DEN,10,0,19,2,4.5,0.444,0.6,2,0.3,1.4,2.5,0.56,0.511,0.8,0.9,0.889,1.7,3.5,5.2,1.1,0.2,0.2,0.3,1.2,5.4,2021
90,Jeff Green,PF,34,BRK,6,1,24.7,2.7,5.5,0.485,1.7,3,0.556,1,2.5,0.4,0.636,1.2,1.3,0.875,0.7,2.2,2.8,1.7,0.5,0.3,0.5,2.3,8.2,2021
91,Josh Green,SG,20,DAL,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,2021
92,Blake Griffin,PF,31,BRK,12,12,26.5,3.5,6.6,0.532,1.2,3,0.389,2.3,3.6,0.651,0.62,0.8,1.2,0.714,1.3,4.7,5.9,1.8,0.8,0.5,0.4,3.3,9,2021
93,Rui Hachimura,PF,22,WAS,5,5,34.6,5.8,9.4,0.617,1.8,3,0.6,4,6.4,0.625,0.713,1.4,2.4,0.583,1,6.2,7.2,1,0.4,0.2,1,3.6,14.8,2021
94,Tim Hardaway Jr.,SG,28,DAL,7,7,37.4,6,14.4,0.416,3.3,8.1,0.404,2.7,6.3,0.432,0.53,1.7,2.3,0.75,0.7,2.6,3.3,1.4,0.4,0,0.9,2.4,17,2021
95,James Harden,PG,31,BRK,9,9,35.8,5.7,12,0.472,2.7,7.3,0.364,3,4.7,0.643,0.583,6.2,6.9,0.903,0.8,5.6,6.3,8.6,1.7,0.7,2.9,2.6,20.2,2021
96,Montrezl Harrell,C,27,LAL,4,0,9.8,2,3.5,0.571,0,0,,2,3.5,0.571,0.571,1.8,2.3,0.778,1.3,1.3,2.5,0,0.5,0,0.5,0.8,5.8,2021
97,Joe Harris,SF,29,BRK,12,12,36.2,4.1,10.3,0.398,2.8,6.8,0.402,1.3,3.4,0.39,0.533,0.3,0.3,0.75,0.4,3.2,3.6,1.6,0.3,0.2,0.8,2.8,11.2,2021
98,Tobias Harris,PF,28,PHI,12,12,36.5,8.8,17.9,0.488,1.3,3.6,0.372,7.4,14.3,0.517,0.526,2.9,3.3,0.875,0.8,7.7,8.5,3.5,1,0.4,1.5,2.4,21.8,2021
99,Shaquille Harrison,SG,27,DEN,9,0,4.4,0.3,0.4,0.75,0.1,0.1,1,0.2,0.3,0.667,0.875,0.2,0.3,0.667,0,0.9,0.9,0.3,0.3,0.3,0.6,0.3,1,2021
100,Tyler Herro,SG,21,MIA,4,0,23.3,3,9.5,0.316,1.5,4.8,0.316,1.5,4.8,0.316,0.395,1.8,1.8,1,0.3,3,3.3,1.8,0.3,0.3,0.8,0.5,9.3,2021
101,George Hill,PG,34,PHI,12,0,17.1,1.6,3.6,0.442,0.7,1.6,0.421,0.9,2,0.458,0.535,0.8,1.1,0.769,0.4,0.9,1.3,1.5,0.7,0.3,0.8,1.5,4.7,2021
102,Solomon Hill,PF,29,ATL,14,3,10.4,0.4,1.7,0.25,0.2,1.3,0.167,0.2,0.4,0.5,0.313,0.1,0.3,0.5,0.2,1.1,1.4,0.2,0.1,0.1,0.1,1.3,1.2,2021
103,Jrue Holiday,PG,30,MIL,23,23,39.7,6.9,16.9,0.406,1.9,6.2,0.303,5,10.7,0.466,0.461,1.7,2.4,0.714,1.4,4.3,5.7,8.7,1.7,0.4,2.4,2.1,17.3,2021
104,Rondae Hollis-Jefferson,PF,26,POR,5,0,7.2,0.8,1,0.8,0,0,,0.8,1,0.8,0.8,0.4,0.6,0.667,0.6,1,1.6,0,0.2,0.2,0,1,2,2021
105,Talen Horton-Tucker,SG,20,LAL,4,0,12,2.8,6,0.458,0.3,1.3,0.2,2.5,4.8,0.526,0.479,0.8,1.3,0.6,0.5,3,3.5,0.5,0.3,0,0.8,0.8,6.5,2021
106,Dwight Howard,C,35,PHI,12,0,12.4,1.3,2.5,0.533,0,0.1,0,1.3,2.4,0.552,0.533,2,3.3,0.6,2.2,4.1,6.3,0.7,0.2,0.5,1,2.6,4.7,2021
107,Markus Howard,SG,21,DEN,9,0,12.4,1.7,4.1,0.405,1.2,2.9,0.423,0.4,1.2,0.364,0.554,0.1,0.2,0.5,0.1,0.7,0.8,0.4,0,0.1,0,1.1,4.7,2021
108,Kevin Huerter,SG,22,ATL,18,10,31,4.3,10,0.428,1.8,5.3,0.347,2.4,4.7,0.518,0.519,0.7,0.9,0.706,0.6,3.2,3.8,2.8,0.8,0.9,1.1,2.7,11.1,2021
109,De'Andre Hunter,SF,23,ATL,5,5,30.4,3.6,9,0.4,1.2,3.2,0.375,2.4,5.8,0.414,0.467,2.4,3.2,0.75,0.4,3.6,4,0.6,0.2,0.6,1.4,2.2,10.8,2021
110,Chandler Hutchison,SF,24,WAS,2,0,9,1,2.5,0.4,0,0,,1,2.5,0.4,0.4,1,1,1,0,1.5,1.5,0.5,0,0,0.5,0.5,3,2021
111,Serge Ibaka,C,31,LAC,2,0,9,1.5,3,0.5,0,1,0,1.5,2,0.75,0.5,2,2,1,0.5,1.5,2,1,0.5,1.5,0.5,0.5,5,2021
112,Andre Iguodala,SF,37,MIA,4,0,17.8,1.5,2.8,0.545,0.8,1.8,0.429,0.8,1,0.75,0.682,0,0,,0.8,2.3,3,1.3,1,0.5,1.3,2,3.8,2021
113,Ersan İlyasova,PF,33,UTA,1,0,3,1,2,0.5,0,1,0,1,1,1,0.5,2,2,1,0,0,0,0,0,0,0,0,4,2021
114,Joe Ingles,SF,33,UTA,11,6,27.8,3.5,7.2,0.494,2.2,5.3,0.414,1.4,1.9,0.714,0.646,0.9,1.2,0.769,0.1,3,3.1,3.5,0.6,0,0.8,1.7,10.2,2021
115,Kyrie Irving,PG,28,BRK,9,9,36.1,8.6,18.1,0.472,2.7,7.2,0.369,5.9,10.9,0.541,0.546,2.9,3.1,0.929,1.3,4.4,5.8,3.4,1,0.6,1.2,2.1,22.7,2021
116,Jaren Jackson Jr.,C,21,MEM,5,5,27.4,4.6,10.8,0.426,1.6,5.6,0.286,3,5.2,0.577,0.5,2.8,3.2,0.875,1.8,3.8,5.6,1,1,1.2,0.8,4.2,13.6,2021
117,Justin Jackson,SF,25,MIL,5,0,3,0.6,1,0.6,0,0.4,0,0.6,0.6,1,0.6,0,0,,0.2,0.2,0.4,0.2,0.2,0,0.2,0,1.2,2021
118,Reggie Jackson,SG,30,LAC,19,17,32.7,6.4,13.3,0.484,3.1,7.5,0.408,3.4,5.8,0.582,0.599,1.9,2.2,0.878,0.4,2.8,3.2,3.4,0.9,0.2,1.5,2.6,17.8,2021
119,LeBron James,PG,36,LAL,6,6,37.3,9,19,0.474,3,8,0.375,6,11,0.545,0.553,2.3,3.8,0.609,1.2,6,7.2,8,1.5,0.3,4.2,1.2,23.3,2021
120,Mike James,PG,30,BRK,9,0,11.4,1.6,4.8,0.326,0.6,1.8,0.313,1,3,0.333,0.384,0,0,,0.2,1.6,1.8,1.3,0.2,0,0.3,0.7,3.7,2021
121,Isaiah Joe,SG,21,PHI,4,0,2.3,0.3,0.8,0.333,0,0.5,0,0.3,0.3,1,0.333,0,0,,0,0,0,0.3,0,0,0,0.5,0.5,2021
122,Alize Johnson,PF,24,BRK,5,0,4.6,0.8,1.4,0.571,0,0,,0.8,1.4,0.571,0.571,0,0,,0.6,2,2.6,0,0.6,0,0.6,0.2,1.6,2021
123,Cameron Johnson,PF,24,PHO,21,0,21.1,2.6,5.2,0.5,1.6,3.5,0.446,1,1.7,0.611,0.65,1.4,1.5,0.906,0.8,2.4,3.1,0.8,0.9,0.2,0.7,1.3,8.2,2021
124,Tyler Johnson,SG,28,BRK,8,0,8.6,0.8,2.1,0.353,0.4,1.4,0.273,0.4,0.8,0.5,0.441,0.3,0.3,1,0.3,0.5,0.8,0.6,0.3,0,0.1,1.1,2.1,2021
125,Nikola Jokić,C,25,DEN,10,10,34.5,11.6,22.8,0.509,2,5.3,0.377,9.6,17.5,0.549,0.553,4.6,5.5,0.836,3.7,7.9,11.6,5,0.6,0.9,2.4,2.3,29.8,2021
126,Derrick Jones Jr.,SF,23,POR,2,0,5,1,2.5,0.4,0,1,0,1,1.5,0.667,0.4,0,0,,0,0,0,0,0.5,0,0,1,2,2021
127,Tyus Jones,PG,24,MEM,5,0,9.4,1.2,3.4,0.353,0.2,0.8,0.25,1,2.6,0.385,0.382,0.4,0.4,1,0.2,1.2,1.4,1.2,0.2,0,0,0.2,3,2021
128,Frank Kaminsky,C,27,PHO,10,0,6.8,1,2.2,0.455,0.1,0.5,0.2,0.9,1.7,0.529,0.477,0.1,0.1,1,0.2,1.2,1.4,1.4,0.2,0.3,0.4,0.9,2.2,2021
129,Luke Kennard,SG,24,LAC,15,0,14.6,2.1,4.3,0.477,1.4,3.4,0.412,0.7,0.9,0.714,0.638,0.1,0.1,0.5,0.3,0.6,0.9,0.5,0.1,0,0.2,1,5.6,2021
130,Maxi Kleber,PF,29,DAL,7,4,26.7,1.7,4.3,0.4,1.1,2.9,0.4,0.6,1.4,0.4,0.533,0.7,1,0.714,0.7,2.9,3.6,1.4,0.4,0,0.1,2.7,5.3,2021
131,Nathan Knight,PF,23,ATL,6,0,2.3,0.3,1.2,0.286,0,0.3,0,0.3,0.8,0.4,0.286,0,0.3,0,0,1,1,0,0,0.3,0,0.3,0.7,2021
132,Kevin Knox,SF,21,NYK,1,0,4,0,0,,0,0,,0,0,,,2,2,1,0,1,1,1,0,1,0,0,2,2021
133,John Konchar,SG,24,MEM,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,1,0,0,0,2021
134,Furkan Korkmaz,SG,23,PHI,12,4,16.3,2.5,6.1,0.411,1.2,3.7,0.318,1.3,2.4,0.552,0.507,0.8,1.2,0.714,0.3,1.7,2,0.6,0.6,0.3,0.4,0.8,7,2021
135,Luke Kornet,C,25,BOS,2,0,2.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0.5,1,0.5,0,1.5,1.5,0,0,0,0,0,1.5,2021
136,Kyle Kuzma,SF,25,LAL,6,0,21.5,2.3,8,0.292,0.7,3.8,0.174,1.7,4.2,0.4,0.333,1,1.5,0.667,0.7,3.2,3.8,1.2,0.3,0.2,1,1.3,6.3,2021
137,Romeo Langford,SG,21,BOS,4,2,27.3,3.3,8,0.406,1.5,4.3,0.353,1.8,3.8,0.467,0.5,1,1,1,1.3,1.3,2.5,1.3,0.8,0.5,0.3,0.5,9,2021
138,T.J. Leaf,PF,23,POR,3,0,2.3,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,0,0,,0.7,0.3,1,0,0,0,0,0,2,2021
139,Alex Len,C,27,WAS,5,3,8.4,1.6,2.8,0.571,0,0,,1.6,2.8,0.571,0.571,0.8,1.4,0.571,0.8,1.4,2.2,0.4,0.2,0,0.2,1.6,4,2021
140,Kawhi Leonard,SF,29,LAC,11,11,39.3,11.1,19.4,0.573,2.2,5.5,0.393,8.9,13.8,0.645,0.629,6,6.8,0.88,2,5.7,7.7,4.4,2.1,0.8,2.2,2.6,30.4,2021
141,Damian Lillard,PG,30,POR,6,6,41.3,10.3,22.3,0.463,5.8,13,0.449,4.5,9.3,0.482,0.593,7.8,8.3,0.94,0.2,4.2,4.3,10.2,1,0.7,2.2,1.5,34.3,2021
142,Nassir Little,PF,20,POR,3,0,3,0.3,1.3,0.25,0.3,1.3,0.25,0,0,,0.375,0.7,1.3,0.5,0,0.3,0.3,0,0,0.3,0.3,0,1.7,2021
143,Brook Lopez,C,32,MIL,23,23,29,5.2,9.4,0.548,1,3.1,0.319,4.2,6.3,0.662,0.601,1.6,1.9,0.86,2.1,3.8,5.9,0.3,0.7,1.5,1.1,2.1,13,2021
144,Robin Lopez,C,32,WAS,5,0,14.6,3.6,5,0.72,0,0,,3.6,5,0.72,0.72,0.2,0.8,0.25,0.8,1,1.8,0,0,0.8,0.2,1.4,7.4,2021
145,Timothé Luwawu-Cabarrot,SF,25,BRK,7,0,3.6,0.4,1.4,0.3,0.3,0.9,0.333,0.1,0.6,0.25,0.4,0,0,,0,0.4,0.4,0.3,0,0,0.1,0.1,1.1,2021
146,Terance Mann,SG,24,LAC,19,6,19.9,2.8,5.5,0.519,0.8,1.9,0.432,2,3.5,0.567,0.596,1.1,1.5,0.714,0.9,1.8,2.7,0.7,0.5,0.3,0.2,2.2,7.6,2021
147,Boban Marjanović,C,32,DAL,4,3,20.8,5,9.8,0.513,0,0,,5,9.8,0.513,0.513,1.8,2.3,0.778,3.5,4.5,8,1,0,0.3,1,3.3,11.8,2021
148,Garrison Mathews,SG,24,WAS,3,0,5.7,0,1.3,0,0,1.3,0,0,0,,0,1.3,1.7,0.8,0,0.7,0.7,0,0,0,0,1.3,1.3,2021
149,Wesley Matthews,SG,34,LAL,6,1,18.3,1.7,5.5,0.303,1.2,4.2,0.28,0.5,1.3,0.375,0.409,1,1,1,0.8,0.8,1.7,0.3,0.3,0,0,2.2,5.5,2021
150,Tyrese Maxey,SG,20,PHI,12,0,13,2.4,5.5,0.439,0.3,1,0.333,2.1,4.5,0.463,0.47,1.2,1.8,0.636,0.1,1.8,1.8,1.3,0.3,0.5,0.4,1.3,6.3,2021
151,Skylar Mays,SG,23,ATL,7,0,2.4,0.6,0.7,0.8,0,0,,0.6,0.7,0.8,0.8,0,0,,0,0.3,0.3,0.1,0.3,0,0.1,0.1,1.1,2021
152,CJ McCollum,SG,29,POR,6,6,40,8.3,19,0.439,2.3,7,0.333,6,12,0.5,0.5,1.7,2.2,0.769,1,5,6,4.3,0.3,0.7,2,4.2,20.7,2021
153,JaVale McGee,C,33,DEN,4,0,8.5,0.8,2.5,0.3,0,0.5,0,0.8,2,0.375,0.3,0.5,1.5,0.333,0.8,2.3,3,0.8,0.3,1.3,0.3,1,2,2021
154,Alfonzo McKinnie,SF,28,LAL,2,0,6,0,1.5,0,0,1,0,0,0.5,0,0,0,0,,0,0.5,0.5,0,0,0,0,0.5,0,2021
155,Ben McLemore,SG,27,LAL,4,0,9,0.5,2.3,0.222,0.5,1.5,0.333,0,0.8,0,0.333,0,0,,0.3,1.5,1.8,0.3,0.3,0,0.3,1.3,1.5,2021
156,Nicolò Melli,PF,30,DAL,3,0,6.3,0,1.3,0,0,0.7,0,0,0.7,0,0,0,0,,0.7,1.3,2,0,0.3,0,0,1,0,2021
157,De'Anthony Melton,PG,22,MEM,5,0,16.6,2.2,6.2,0.355,1.2,4,0.3,1,2.2,0.455,0.452,0.6,1,0.6,0.8,2.4,3.2,1,0.2,0.8,0.6,1.4,6.2,2021
158,Sam Merrill,SG,24,MIL,8,0,3.8,0.3,0.9,0.286,0.1,0.6,0.2,0.1,0.3,0.5,0.357,0,0,,0.1,0.5,0.6,0.1,0.5,0,0.1,0.3,0.6,2021
159,Khris Middleton,SF,29,MIL,23,23,40.1,8.6,19.7,0.438,2.6,7.6,0.343,6,12,0.498,0.504,3.7,4.2,0.887,1.1,6.5,7.6,5.1,1.5,0.2,3.2,2.5,23.6,2021
160,Paul Millsap,PF,35,DEN,9,0,12.1,2.4,5.6,0.44,0.7,2.6,0.261,1.8,3,0.593,0.5,0.9,1.4,0.615,1,2.9,3.9,1.7,0.3,0.7,0.9,1.6,6.4,2021
161,Shake Milton,SG,24,PHI,12,0,10.1,1.3,3.9,0.319,0.7,1.6,0.421,0.6,2.3,0.25,0.404,1.2,1.3,0.933,0,0.8,0.8,0.8,0.3,0.1,0.9,1.5,4.3,2021
162,Donovan Mitchell,PG,24,UTA,10,10,34.6,10.5,23.5,0.447,5,11.5,0.435,5.5,12,0.458,0.553,6.3,7.6,0.829,0.3,3.9,4.2,5.5,1.1,0.2,2.8,2,32.3,2021
163,E'Twaun Moore,SG,31,PHO,7,0,6.6,1.1,2.6,0.444,0.1,0.7,0.2,1,1.9,0.538,0.472,0,0,,0,1.4,1.4,1.3,0.1,0,0.4,0.4,2.4,2021
164,Ja Morant,PG,21,MEM,5,5,40.6,11,22.6,0.487,2,6.2,0.323,9,16.4,0.549,0.531,6.2,8,0.775,1.4,3.4,4.8,8.2,0.4,0,3.4,1.8,30.2,2021
165,Juwan Morgan,PF,23,UTA,2,0,3,0,0,,0,0,,0,0,,,0,0,,0.5,0.5,1,0.5,0,0,0,0.5,0,2021
166,Marcus Morris,PF,31,LAC,19,18,31.8,4.5,10.5,0.43,1.9,5.1,0.375,2.6,5.5,0.481,0.52,1.3,1.7,0.75,0.7,3.6,4.3,1.5,0.5,0.5,0.4,2.6,12.2,2021
167,Markieff Morris,PF,31,LAL,4,1,9.5,0.5,2.3,0.222,0.3,1,0.25,0.3,1.3,0.2,0.278,1,1.5,0.667,1,0,1,0.8,0,0.3,0.5,1.5,2.3,2021
168,Monte Morris,PG,25,DEN,10,1,28.6,5,11.6,0.431,1.6,4,0.4,3.4,7.6,0.447,0.5,2.1,2.9,0.724,0.7,1.7,2.4,5.5,1,0.2,0.7,1.2,13.7,2021
169,Abdel Nader,SF,27,PHO,5,0,5.8,0.4,1.2,0.333,0,0.4,0,0.4,0.8,0.5,0.333,0,0,,0,1,1,0,0,0,0,0.6,0.8,2021
170,Aaron Nesmith,SF,21,BOS,5,0,15,1,3.6,0.278,0.8,2.8,0.286,0.2,0.8,0.25,0.389,0.4,0.4,1,0.4,2.2,2.6,0.2,0.2,0.2,0.4,1.4,3.2,2021
171,Raul Neto,PG,28,WAS,5,3,22.4,2.4,6.8,0.353,0.8,3,0.267,1.6,3.8,0.421,0.412,0.8,1,0.8,0.6,1.6,2.2,1,0.4,0,0.2,2.2,6.4,2021
172,Georges Niang,PF,27,UTA,11,0,11.7,1,3.5,0.282,0.8,2.7,0.3,0.2,0.8,0.222,0.397,0.4,0.4,1,0.2,1.5,1.7,0.7,0,0.1,0.7,1.7,3.2,2021
173,Zeke Nnaji,PF,20,DEN,5,0,3.6,0.8,1.6,0.5,0.6,1.4,0.429,0.2,0.2,1,0.688,0.2,0.4,0.5,0.2,0.2,0.4,0.4,0.2,0,0,0.2,2.4,2021
174,Nerlens Noel,C,26,NYK,5,2,18.4,1,2,0.5,0,0,,1,2,0.5,0.5,2.6,3.2,0.813,2,2,4,0.2,0.8,0.6,0.8,3,4.6,2021
175,Frank Ntilikina,PG,22,NYK,3,0,1.3,0,0.3,0,0,0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2021
176,Kendrick Nunn,PG,25,MIA,4,2,23.3,4.3,10.8,0.395,1.3,4.5,0.278,3,6.3,0.48,0.453,0.5,0.5,1,0,1.5,1.5,1.5,0.5,0,0.8,1,10.3,2021
177,Jusuf Nurkić,C,26,POR,6,6,28.8,5,9.2,0.545,0.2,0.8,0.2,4.8,8.3,0.58,0.555,3,4.2,0.72,3,7.3,10.3,2.7,0.5,1.2,2.3,5,13.2,2021
178,Jordan Nwora,SF,22,MIL,5,0,6.2,0.8,3.6,0.222,0.4,1.6,0.25,0.4,2,0.2,0.278,1,1.4,0.714,1,0.8,1.8,0.2,0,0.2,0.2,0.2,3,2021
179,Royce O'Neale,SF,27,UTA,11,11,36.7,3.9,7.7,0.506,2.5,5.5,0.467,1.4,2.3,0.6,0.671,0.9,1.1,0.833,1.5,5.8,7.3,2.1,1.1,0.3,0.7,3.7,11.3,2021
180,Semi Ojeleye,PF,26,BOS,2,0,6,0,2,0,0,1.5,0,0,0.5,0,0,0.5,1,0.5,0,0,0,0,0.5,0.5,0,0,0.5,2021
181,Onyeka Okongwu,C,20,ATL,18,0,9.2,0.9,1.7,0.548,0,0.1,0,0.9,1.7,0.567,0.548,0.8,1.2,0.667,1.2,1.5,2.7,0.1,0.3,0.7,0.2,1.6,2.7,2021
182,KZ Okpala,PF,21,MIA,2,0,3,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2021
183,Miye Oni,SG,23,UTA,8,0,5.1,0,0.6,0,0,0.6,0,0,0,,0,0,0,,0.4,0,0.4,0,0.1,0,0,1,0,2021
184,Daniel Oturu,C,21,LAC,8,0,1.9,0.3,0.6,0.4,0,0.1,0,0.3,0.5,0.5,0.4,0.1,0.3,0.5,0.3,0.3,0.5,0,0,0.1,0,0.3,0.6,2021
185,Jabari Parker,PF,25,BOS,4,0,14.8,3.3,5.3,0.619,0.5,1.3,0.4,2.8,4,0.688,0.667,1.5,2,0.75,0.5,3.3,3.8,0.5,0,0.8,1.5,1.8,8.5,2021
186,Chris Paul,PG,35,PHO,20,20,34.2,7.5,15,0.497,1.5,3.3,0.446,6,11.8,0.511,0.545,2.9,3.3,0.877,0.5,3.1,3.5,8.6,1.2,0.2,2.2,2.4,19.2,2021
187,Cameron Payne,PG,26,PHO,22,2,19,3.7,8.8,0.425,1.1,3.1,0.362,2.6,5.6,0.46,0.49,0.7,0.8,0.889,0.3,2.2,2.5,3.2,0.8,0.5,1.1,1.8,9.3,2021
188,Elfrid Payton,PG,26,NYK,2,2,6.5,0,2.5,0,0,0,,0,2.5,0,0,0.5,1,0.5,0,0,0,0.5,0.5,0,0,0.5,0.5,2021
189,Reggie Perry,PF,20,BRK,5,0,4.4,1.4,2.6,0.538,0.4,1,0.4,1,1.6,0.625,0.615,0,0,,0.8,0.4,1.2,0.2,0.2,0,0.6,0.8,3.2,2021
190,Michael Porter Jr.,SF,22,DEN,10,10,33.2,6.4,13.5,0.474,2.9,7.3,0.397,3.5,6.2,0.565,0.581,1.7,2.1,0.81,1.2,5,6.2,1.3,1.1,0.3,1.6,3.1,17.4,2021
191,Bobby Portis,C,25,MIL,20,2,18.3,3.5,7.6,0.464,0.9,2.6,0.346,2.6,5,0.525,0.523,0.9,1.3,0.72,1.7,3.4,5,0.6,0.7,0.4,0.5,1.6,8.8,2021
192,Kristaps Porziņģis,C,25,DAL,7,7,33.3,4.9,10.3,0.472,1.1,3.9,0.296,3.7,6.4,0.578,0.528,2.3,2.7,0.842,1,4.4,5.4,1.3,1.3,0.7,0.4,2.7,13.1,2021
193,Dwight Powell,C,29,DAL,7,0,7.4,1,1.1,0.875,0,0,,1,1.1,0.875,0.875,0.7,0.9,0.833,0.7,1.1,1.9,0.9,0.3,0,0.1,1.1,2.7,2021
194,Norman Powell,SF,27,POR,6,6,36,6.3,12.7,0.5,1.7,4.3,0.385,4.7,8.3,0.56,0.566,2.7,3,0.889,0.5,1.7,2.2,2,0.8,1,1.2,2.8,17,2021
195,Payton Pritchard,SG,23,BOS,5,0,13.4,1.2,3.4,0.353,0.6,2,0.3,0.6,1.4,0.429,0.441,0.4,0.4,1,0.4,1.4,1.8,2.4,0.4,0,0.6,0.8,3.4,2021
196,Immanuel Quickley,PG,21,NYK,5,0,15.4,2,6.6,0.303,0.8,2.2,0.364,1.2,4.4,0.273,0.364,1,1.4,0.714,0,1.4,1.4,1,0.6,0,1.2,1.6,5.8,2021
197,Julius Randle,PF,26,NYK,5,5,36,5.6,18.8,0.298,2.2,6.6,0.333,3.4,12.2,0.279,0.356,4.6,5.4,0.852,2.2,9.4,11.6,4,0.6,0,4.6,3.6,18,2021
198,Cam Reddish,SF,21,ATL,4,0,23,4.8,9,0.528,2.3,3.5,0.643,2.5,5.5,0.455,0.653,1,1.3,0.8,0.3,3.3,3.5,1.8,1.5,0.5,1.3,2.8,12.8,2021
199,Paul Reed,PF,21,PHI,3,0,3.7,0.7,1.3,0.5,0,0,,0.7,1.3,0.5,0.5,0,0,,1,1.7,2.7,0,0,0.3,0,0.3,1.3,2021
200,Josh Richardson,SG,27,DAL,7,0,13.4,1.6,4,0.393,0.4,1.4,0.3,1.1,2.6,0.444,0.446,1.3,1.3,1,0.4,1.1,1.6,0.7,0.3,0,0.9,1.1,4.9,2021
201,Austin Rivers,SG,28,DEN,10,9,30.5,3,6.9,0.435,1.9,4.6,0.413,1.1,2.3,0.478,0.572,1.3,1.6,0.813,0.1,1.6,1.7,2.1,0.2,0.3,0.9,3.2,9.2,2021
202,Duncan Robinson,SF,26,MIA,4,4,25,2.8,7.3,0.379,2.5,6.8,0.37,0.3,0.5,0.5,0.552,2.3,2.5,0.9,0,2.8,2.8,0.8,0.8,0,1,3.3,10.3,2021
203,Rajon Rondo,PG,34,LAC,13,0,16.9,1.4,4.1,0.34,0.8,2.2,0.393,0.5,1.9,0.28,0.443,0.6,0.9,0.667,0.3,2.3,2.6,3.8,0.4,0.2,1.1,1.4,4.2,2021
204,Derrick Rose,PG,32,NYK,5,3,35,8,16.8,0.476,1.6,3.4,0.471,6.4,13.4,0.478,0.524,1.8,1.8,1,0.8,3.2,4,5,0.4,0.2,1.6,1,19.4,2021
205,Dario Šarić,C,26,PHO,14,0,10.5,1.5,3.2,0.467,0.6,1.3,0.444,0.9,1.9,0.481,0.556,0.9,1,0.929,0.6,1.9,2.5,1,0.1,0.1,0.4,1.5,4.5,2021
206,Dennis Schröder,SG,27,LAL,6,6,32.7,4.7,11.7,0.4,1.3,4.3,0.308,3.3,7.3,0.455,0.457,3.7,4.3,0.846,0.2,2.8,3,2.8,1,0.2,1.7,2.2,14.3,2021
207,Mike Scott,PF,32,PHI,5,0,6.8,0.4,1.8,0.222,0.4,1.4,0.286,0,0.4,0,0.333,0,0,,0.2,0.4,0.6,0.6,0.2,0.2,0,0.6,1.2,2021
208,Jay Scrubb,SG,20,LAC,6,0,1.3,0,0,,0,0,,0,0,,,0,0,,0,0.2,0.2,0,0,0,0,0,0,2021
209,Landry Shamet,SG,23,BRK,12,0,17.2,1.5,3.4,0.439,0.8,2.2,0.385,0.7,1.3,0.533,0.561,0.3,0.4,0.8,0.3,1.5,1.8,0.6,0.4,0.1,0.5,1.6,4.2,2021
210,Ben Simmons,PG,24,PHI,12,12,33.5,4.9,7.9,0.621,0,0.1,0,4.9,7.8,0.628,0.621,2.1,6.1,0.342,2.1,5.8,7.9,8.8,1.3,0.8,2.3,3.3,11.9,2021
211,Anfernee Simons,SG,21,POR,6,0,17.8,2.3,4.2,0.56,1.8,3,0.611,0.5,1.2,0.429,0.78,0,0,,0.5,2.2,2.7,0.8,0.3,0.2,0.2,1,6.5,2021
